HUMAN_ID,gender,year,date,age,region,uniform_top,uniform_bottom,002. height,032. neck_circumference ,041. chest_circumference ,045. waist_circumference ,048. hip_circumference ,084. sittingheight ,122. foot ,125. weight 
20_M_1795,남,2020,1129,27,서울/경기/강원,,90M,1841,383,1112,876,1013,959,267,89.6
20_M_1796,남,2020,1129,26,서울/경기/강원,,90M,1727,365,947,777,924,905,260,63.7
20_M_1798,남,2020,1129,29,서울/경기/강원,,80M,1684,350,965,790,896,893,248,61.3
20_F_1801,여,2020,1130,32,서울/경기/강원,75M,80F,1621,328,897,732,917,885,234,57
20_F_1802,여,2020,1130,37,서울/경기/강원,80L,80F,1611,305,851,715,884,868,231,48.4
20_F_1803,여,2020,1130,28,서울/경기/강원,75M,75F,1600,317,844,736,950,862,223,55.7
20_F_1804,여,2020,1130,30,서울/경기/강원,75M,70F,1599,305,822,629,875,874,233,47.3
20_F_1805,여,2020,1130,34,서울/경기/강원,70S,65F,1637,309,774,632,826,884,233,44.9
20_F_1806,여,2020,1130,30,서울/경기/강원,75M,75F,1586,310,831,729,952,854,224,54.6
20_F_1807,여,2020,1130,43,서울/경기/강원,75M,75F,1521,308,853,701,865,856,206,47.6
20_F_1808,여,2020,1130,44,서울/경기/강원,85XL,85F,1603,357,945,805,968,866,234,63.5
20_F_1809,여,2020,1130,34,서울/경기/강원,80L,85F,1702,338,935,824,1020,898,251,68.7
20_F_1810,여,2020,1130,33,서울/경기/강원,85XL,85F,1711,330,934,793,985,898,247,66.5
20_F_1811,여,2020,1130,39,서울/경기/강원,902XL,90F,1640,333,991,873,1055,868,232,70.6
20_F_1817,여,2020,1130,25,서울/경기/강원,75M,75F,1666,310,820,661,890,909,233,49.3
20_F_1818,여,2020,1130,35,서울/경기/강원,85XL,90F,1637,340,908,846,1062,883,238,71.1
20_F_1819,여,2020,1130,44,서울/경기/강원,953XL,110F,1542,393,1056,1048,1088,842,226,84.1
20_F_1820,여,2020,1130,33,서울/경기/강원,902XL,90F,1612,345,948,856,930,880,236,64.9
20_F_1821,여,2020,1130,40,서울/경기/강원,902XL,90F,1558,337,944,910,976,854,216,65.1
20_F_1822,여,2020,1130,30,서울/경기/강원,80L,80F,1622,329,911,753,957,876,232,60.9
20_F_1823,여,2020,1130,30,서울/경기/강원,75M,75F,1607,305,838,666,876,886,228,49.4
20_F_1824,여,2020,1130,37,서울/경기/강원,85XL,85F,1679,345,955,823,1025,894,233,73.3
20_F_1826,여,2020,1202,28,서울/경기/강원,75M,70F,1551,294,776,639,881,860,226,46.4
20_F_1827,여,2020,1202,37,서울/경기/강원,80L,80F,1668,325,922,738,940,915,239,58
20_F_1828,여,2020,1202,39,서울/경기/강원,75M,70F,1674,310,817,653,908,895,227,52.7
20_F_1829,여,2020,1202,31,서울/경기/강원,75M,75F,1672,299,796,675,953,922,224,51.5
20_F_1830,여,2020,1202,41,서울/경기/강원,85XL,85F,1638,315,894,809,963,878,243,61.2
20_F_1831,여,2020,1202,33,서울/경기/강원,85XL,80F,1581,320,881,719,932,860,235,54.9
20_F_1832,여,2020,1202,44,서울/경기/강원,85XL,85F,1628,320,935,819,980,887,236,64.5
20_F_1833,여,2020,1202,32,서울/경기/강원,80L,75F,1636,319,866,690,924,862,220,54.3
20_F_1834,여,2020,1202,30,서울/경기/강원,85XL,85F,1531,335,875,800,961,888,210,58.2
20_F_1835,여,2020,1202,35,서울/경기/강원,902XL,90F,1700,373,1021,905,1060,922,248,82.2
20_F_1836,여,2020,1202,27,서울/경기/강원,75M,70F,1629,311,797,626,895,912,222,48.3
20_F_1837,여,2020,1202,39,서울/경기/강원,75M,75F,1567,292,852,711,899,837,213,48
20_F_1838,여,2020,1202,39,서울/경기/강원,85XL,80F,1697,335,871,736,905,941,241,60.1
20_F_1839,여,2020,1202,35,서울/경기/강원,75M,75F,1582,312,803,715,940,854,227,53.1
20_F_1840,여,2020,1202,30,서울/경기/강원,70S,65F,1485,286,770,610,792,799,198,38.4
20_F_1841,여,2020,1202,29,서울/경기/강원,80L,70F,1644,306,815,678,920,868,233,54.1
20_F_1842,여,2020,1202,41,서울/경기/강원,953XL,100F,1704,370,1055,988,1128,900,250,85.5
20_F_1843,여,2020,1202,26,서울/경기/강원,902XL,90F,1701,348,1029,843,1003,911,251,73.3
20_F_1844,여,2020,1202,31,서울/경기/강원,80L,75F,1634,311,887,737,890,858,240,54.4
20_F_1845,여,2020,1202,32,서울/경기/강원,80L,75F,1615,320,835,717,940,902,238,56.6
20_F_1846,여,2020,1202,25,서울/경기/강원,85XL,85F,1602,310,902,754,1000,895,225,64.5
20_F_1847,여,2020,1202,31,서울/경기/강원,80L,75F,1648,323,867,756,997,894,247,64
20_F_1848,여,2020,1202,34,서울/경기/강원,80L,80F,1612,314,910,728,953,891,235,60.2
20_F_1849,여,2020,1202,29,서울/경기/강원,80L,85F,1683,352,920,779,972,928,238,64.9
20_F_1850,여,2020,1202,42,서울/경기/강원,80L,80F,1685,325,835,742,912,869,231,55.2
20_F_1851,여,2020,1203,36,서울/경기/강원,902XL,90F,1677,360,956,803,963,905,249,70.4
20_F_1852,여,2020,1203,35,서울/경기/강원,80L,75F,1590,308,823,668,901,898,225,51.6
20_F_1854,여,2020,1203,27,서울/경기/강원,85XL,80F,1633,338,899,756,972,915,226,64.4
20_F_1855,여,2020,1203,40,서울/경기/강원,80L,70F,1698,310,860,658,895,937,242,51.5
20_F_1856,여,2020,1203,31,서울/경기/강원,75M,75F,1582,309,830,669,882,835,227,49.3
20_F_1857,여,2020,1203,35,서울/경기/강원,80L,85F,1570,310,841,678,912,862,224,51.1
20_F_1858,여,2020,1203,35,서울/경기/강원,85XL,85F,1666,335,910,827,984,882,244,66.5
20_F_1859,여,2020,1203,33,서울/경기/강원,80L,80F,1604,317,867,749,890,842,217,52.9
20_F_1860,여,2020,1203,35,서울/경기/강원,902XL,90F,1651,318,940,856,1022,892,231,69.9
20_F_1861,여,2020,1203,32,서울/경기/강원,75M,70F,1635,295,767,640,892,876,236,47.6
20_F_1862,여,2020,1203,34,서울/경기/강원,85XL,85F,1631,327,910,780,980,892,240,63.6
20_F_1863,여,2020,1203,38,서울/경기/강원,80L,80F,1582,315,869,684,895,845,232,52.2
20_F_1864,여,2020,1203,37,서울/경기/강원,902XL,90F,1645,341,967,856,1004,894,250,69
20_F_1865,여,2020,1203,38,서울/경기/강원,80L,70F,1706,308,811,693,915,943,243,56.5
20_F_1866,여,2020,1203,43,서울/경기/강원,902XL,90F,1645,348,962,817,1090,885,236,75.1
20_F_1867,여,2020,1203,27,서울/경기/강원,75M,70F,1581,296,813,645,882,862,226,47.5
20_F_1868,여,2020,1203,34,서울/경기/강원,80L,80F,1575,328,877,730,958,871,238,57.7
20_F_1869,여,2020,1203,29,서울/경기/강원,953XL,100F,1696,359,1020,917,1120,940,238,84.7
20_F_1870,여,2020,1203,37,서울/경기/강원,80L,70F,1569,312,778,656,858,834,208,45.7
20_F_1871,여,2020,1203,37,서울/경기/강원,80L,75F,1539,295,812,681,902,821,234,48.3
20_F_1873,여,2020,1203,35,서울/경기/강원,953XL,100F,1727,386,1064,932,1172,935,252,91.4
20_F_1874,여,2020,1203,38,서울/경기/강원,80L,75F,1572,314,827,715,882,882,214,50.2
20_F_1875,여,2020,1203,34,서울/경기/강원,80L,75F,1652,297,825,673,891,892,236,51.3
20_F_1876,여,2020,1203,34,서울/경기/강원,80L,80F,1616,324,818,744,917,883,240,53.8
20_F_1877,여,2020,1203,30,서울/경기/강원,80L,75F,1618,325,860,722,945,882,222,58.1
20_F_1878,여,2020,1203,40,서울/경기/강원,75M,70F,1553,292,816,674,882,860,208,50
20_F_1879,여,2020,1203,36,서울/경기/강원,80L,75F,1600,315,815,697,898,865,227,49.8
20_M_1882,남,2020,1204,29,서울/경기/강원,,85M,1742,365,1003,796,978,918,255,68.6
20_M_1883,남,2020,1204,25,서울/경기/강원,,85M,1850,387,1043,798,972,999,268,76.9
20_M_1885,남,2020,1204,31,서울/경기/강원,,90M,1726,379,1048,892,949,937,257,76
20_M_1886,남,2020,1204,28,서울/경기/강원,,110M,1783,446,1228,1196,1158,952,262,121
20_M_1888,남,2020,1204,32,서울/경기/강원,,90M,1737,395,1007,890,998,957,258,76.6
20_M_1891,남,2020,1204,32,서울/경기/강원,,80M,1749,350,972,794,932,940,257,67.2
20_M_1893,남,2020,1204,26,서울/경기/강원,,80M,1638,348,884,768,894,879,238,56.2
20_M_1895,남,2020,1204,43,서울/경기/강원,,95M,1776,411,1060,929,985,961,257,79.8
20_M_1898,남,2020,1204,41,서울/경기/강원,,90M,1776,360,1000,833,950,946,254,69.4
